ぜんこくNo.,名前,名前(フォルム),英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,とくせい1,とくせい2,夢特性
810,サルノリ,サルノリ,Grookey,くさ,,50,65,50,40,40,65,しんりょく,,*グラスメイカー
811,バチンキー,バチンキー,Thwackey,くさ,,70,85,70,55,60,80,しんりょく,,*グラスメイカー
812,ゴリランダー,ゴリランダー,Rillaboom,くさ,,100,125,90,60,70,85,しんりょく,,*グラスメイカー
813,ヒバニー,ヒバニー,Scorbunny,ほのお,,50,71,40,40,40,69,もうか,,*リベロ
814,ラビフット,ラビフット,Raboot,ほのお,,65,86,60,55,60,94,もうか,,*リベロ
815,エースバーン,エースバーン,Cinderace,ほのお,,80,116,75,65,75,119,もうか,,*リベロ
816,メッソン,メッソン,Sobble,みず,,50,40,40,70,40,70,げきりゅう,,*スナイパー
817,ジメレオン,ジメレオン,Drizzile,みず,,65,60,55,95,55,90,げきりゅう,,*スナイパー
818,インテレオン,インテレオン,Inteleon,みず,,70,85,65,125,65,120,げきりゅう,,*スナイパー
824,サッチムシ,サッチムシ,Blipbug,むし,,25,20,20,25,45,45,むしのしらせ,ふくがん,*テレパシー
825,レドームシ,レドームシ,Dottler,むし,エスパー,50,35,80,50,90,30,むしのしらせ,ふくがん,*テレパシー
826,イオルブ,イオルブ,Orbeetle,むし,エスパー,60,45,110,80,120,90,むしのしらせ,おみとおし,*テレパシー
10,キャタピー,キャタピー,Caterpie,むし,,45,30,35,20,20,45,りんぷん,,*にげあし
11,トランセル,トランセル,Metapod,むし,,50,20,55,25,25,30,だっぴ,,
12,バタフリー,バタフリー,Butterfree,むし,ひこう,60,45,50,90,80,70,ふくがん,,*いろめがね
736,アゴジムシ,アゴジムシ,Grubbin,むし,,47,62,45,55,45,46,むしのしらせ,,
737,デンヂムシ,デンヂムシ,Charjabug,むし,でんき,57,82,95,55,75,36,バッテリー,,
738,クワガノン,クワガノン,Vikavolt,むし,でんき,77,70,90,145,75,43,ふゆう,,
163,ホーホー,ホーホー,Hoothoot,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,*いろめがね
164,ヨルノズク,ヨルノズク,Noctowl,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,*いろめがね
821,ココガラ,ココガラ,Rookidee,ひこう,,38,47,35,33,35,57,するどいめ,きんちょうかん,*はとむね
822,アオガラス,アオガラス,Corvisquire,ひこう,,68,67,55,43,55,77,するどいめ,きんちょうかん,*はとむね
823,アーマーガア,アーマーガア,Corviknight,ひこう,はがね,98,87,105,53,85,67,プレッシャー,きんちょうかん,*ミラーアーマー
819,ホシガリス,ホシガリス,Skwovet,ノーマル,,70,55,55,35,35,25,ほおぶくろ,,*くいしんぼう
820,ヨクバリス,ヨクバリス,Greedent,ノーマル,,120,95,95,55,75,20,ほおぶくろ,,*くいしんぼう
519,マメパト,マメパト,Pidove,ノーマル,ひこう,50,55,50,36,30,43,はとむね,きょううん,*とうそうしん
520,ハトーボー,ハトーボー,Tranquill,ノーマル,ひこう,62,77,62,50,42,65,はとむね,きょううん,*とうそうしん
